month	lesson	phrase	eng	den	audio
8	6	8	That dog is sitting under its house. 	 Łik’a ghin k’i beqenq’a gheyeh eydu.	apr-06-08.mp3
2	6	1	What are you doing?	Yada t’enł’an dit?	oct-06-01.mp3
2	6	2	I am going hunting. 	Shtuneshu shit’i.	oct-06-02.mp3
2	6	3	What is he doing?	Yada t’eł’anen din?.	oct-06-03.mp3
2	6	4	He went out hunting.	 Shtuniyunen shin’i.	oct-06-04.mp3
2	6	5	He is walking around outside. 	Uch’ih nugheyuł (ki)..	oct-06-05.mp3
2	6	6	What is the man doing? 	Quht’ana yada t’eł’anen din?	oct-06-06.mp3
2	6	7	(That) man went hunting. 	Quht’ana (ghin ki) shtuniyu.	oct-06-07.mp3
2	6	8	What is the child doing? 	Ch’anigen ghun yada (q’u) t’eł’anen din?	oct-06-08.mp3
2	6	9	The boy went hunting. 	Ch’anigen ghun k’a shtuniyu.	oct-06-09.mp3
4	6	1	my house	shqenq’a	dec-06-01.mp3
4	6	2	your house	nqenq’a	dec-06-02.mp3
4	6	3	his/her house	Y uqenq’a	dec-06-03.mp3
4	6	4	our house	naqenq’a	dec-06-04.mp3
4	6	5	your house	(henyi) hqenq’a	dec-06-05.mp3
4	6	6	their house	huqenq’a	dec-06-06.mp3
4	6	10	3title: June Lesson 3: Plants
4	6	1	What is this?	Ginhti yada q’u tulał?	jun-03-01.mp3
4	6	2	 This is a plant.	 K’et’un dnełyahi.	jun-03-02.mp3
4	6	3	This is grass.	 K’echan dnełyahi.	jun-03-03.mp3
4	6	4	This is a spruce tree (here).	  Ch’bala (gu) dnełyahi.	jun-03-04.mp3
4	6	5	What is growing here?	 Yada q’u dnełyah dit?	jun-03-05.mp3
4	6	6	What kind of plants are there? 	 Yada du ghu dnełyahi gu da qilan?	jun-03-06.mp3
4	6	8	Alders are growing (here). 	 Chik’a deldeli gu dnełyah gu k’a.	jun-03-08.mp3
4	6	9	Alders are growing (here). 	 Chik’a dedeli dnełyah.	jun-03-08b.mp3
4	6	10	Sage is growing. 	 Ts’elbeni dnełyah. 	jun-03-09.mp3
3	4	1	Is your throat dry (are you thirsty?)	Nyuh hnalggen du?	nov-04-01.mp3
3	4	2	Yes, my throat is dry.  	  Aa’ shyuh hnaghelggen.	nov-04-02.mp3
3	4	3	I want water.	Biłnich’ dnesh’u	nov-04-03.mp3
3	4	4	I do not want water.	 Biłni k’a nch’u shku’ideshne.	nov-04-04.mp3
3	4	5	Do you want to drink tea? 	 Chayu tghelch’ah ninyen du?	nov-04-05.mp3
3	4	6	 Yes, I want tea.	 Aa’ chayuch’ dnesh’u.	nov-04-06.mp3
3	4	7	I do not want tea.	 Chayu k’a nch’u shku’ideshne.	nov-04-07.mp3
3	4	8	What are you drinking here? 	 Yada di gu ntnuni shi?	nov-04-08.mp3
3	4	9	I am drinking water. 	Biłni eshtnun (shit’i).	nov-04-09.mp3
3	4	1	What is s/he doing?	 Yada t’eł’anen din?	jan-02-01.mp3
3	4	2	S/he is crying. 	  Chagh duhti.	jan-02-02.mp3
3	4	3	S/he is sewing.	Q’ank’dałqushen shin.	jan-02-03.mp3
3	4	4	S/he is playing.	Hnat’an duhti.	jan-02-04.mp3
3	4	5	S/he is playing.	Hnat’anen łu.	jan-02-04b.mp3
3	4	6	S/he is packing water.	Biłni tuyequshen shin.	jan-02-05.mp3
3	4	7	What are you doing? 	Yada q’u t’enł’an dit?	jan-02-06.mp3
3	4	8	I am crying.	Eshchagh shit’i.	jan-02-07.mp3
3	4	9	I am sewing.	Q’ank’da’ełqush (shit’i).	jan-02-08.mp3
3	4	10	I am playing too.	Hna’esht’an k’a.	jan-02-09.mp3
3	4	11	I am packing water too.	Biłni k’a tuyeshqun.	jan-02-10.mp3
3	4	12	What is that woman doing?	K’isen ghun yada t’eł’anen din?	jan-02-11.mp3
3	4	13	The woman is sewing.	(K’isen ghun) q’ank’dałqush duhti.	jan-02-12.mp3
3	2	1	How are you?	Ch’adach’ q’u t’ent’a?	mar-02-01.mp3
3	2	2	I am sick.	 Egedu ełan shit’i.	mar-02-02.mp3
3	2	3	My head really aches.	 Shkin’i egedu gheli.	mar-02-03.mp3
3	2	4	My foot hurts too.	 Shqa k’a egedu.	mar-02-04.mp3
3	2	5	 I am better (now). 	 Yagheli ełan (q’udi ki).	mar-02-05.mp3
3	2	6	I am tired.	Tagheshtneq (shi q’u).	mar-02-06.mp3
3	2	7	I am sleepy (too).	   Nuł chishtałni (k’a).(‘sleep is killing me’)	mar-02-07.mp3
2	1	1	What is your name?	Ch’adach’ q’u n’iyi qilan?	oct-01-01.mp3
2	1	2	 My name is Sava. 	Sava sh’iyi qilan.	oct-01-02.mp3
2	1	3	What is his/her name?	Ch’adach’ q’u be’iyi qilanen din?	oct-01-03.mp3
2	1	4	His name is Joe.	 Be’iyi Joe qilan.	oct-01-04.mp3
7	5	1	Give me the rock.	Qałnigi shlaq’a dnichit.	mar-05-01.mp3
7	5	2	Give me my hat.	 Shkit’una shlaq’a dichit.	mar-05-02.mp3
7	5	3	Give me the tea you poured for me.	 Chayu shghu danłtl’idi shlaq’a dichit.	mar-05-03.mp3
7	5	4	Give me the tea you poured for me.	Chayu shu danłtl’idi shlaq’a dichit.	mar-05-03b.mp3
7	5	5	Give me the water in a cup.	 Biłni shu niqush cup at.	mar-05-04.mp3
7	5	6	 Give me the water that you poured for me.	 Biłni shu danłtl’idi shlaq’a dichit sa’i.	mar-05-05.mp3
7	5	7	 Give me the puppy.	 łegga shlaq’a nłghuł (iy).	mar-05-06.mp3
7	5	8	Give me the baby too. 	 Ch’anigen gga k’a shlaq’a nłghuł (k’a) shi.	mar-05-07.mp3
3	3	1	What are you doing? 	Yada q’u t’enł’an dit?	nov-03-01.mp3
3	3	2	I am eating (with you).  	 K’elqat (neł hu).	nov-03-02.mp3
3	3	3	What is s/he doing?	Yada q’u t’eł’anen din?	nov-03-03.mp3
3	3	4	S/he is eating.	 Ghun k’elqaden shin’i.	nov-03-04.mp3
3	3	5	S/he is drinking tea. 	 Chayu eyey yeh ki.	nov-03-05.mp3
3	3	6	S/he is drinking tea.	Chayu eyey yenhti.	nov-03-05b.mp3
3	3	7	 What are you doing?	 Nenhti yada t’enł’an dit?	nov-03-06.mp3
3	3	8	I am eating fry bread.	  Aladi nelqat shit’i.	nov-03-07.mp3
3	3	9	I am eating dry meat.	 K’tsen nalggeni elqat shit’i.	nov-03-08.mp3
3	3	10	What is s/he eating? 	Yada q’u lqaden din?	nov-03-09.mp3
3	3	11	S/he is eating dry fish. 	 Baba lqaden łu ghu.	nov-03-10.mp3
4	1	1	Are you cold?	Edli nelan du?	dec-01-01.
4	1	2	Yes, I am cold.	Aa’ edli ełan.	dec-01-02.mp3
4	1	3	I am not cold any more.	Nch’uk’a ki edli ghełe ki.	dec-01-03.mp3
1	1	1	Are you fine? (How are you?) 	Yagheli ilan du?	sept-01-01.mp3
1	1	2	Yes, I am fine. 	Aa’ yagheli ełan.	sept-01-02.mp3
1	1	3	How are you doing?	Ch’adach’ q’u t’ent’a?	sept-01-03.mp3
1	1	4	Me too, I’m fine.	(Shi k’a) yagheli ełan.	sept-01-04.mp3
1	1	5	How is s/he, that person?	Ch’adach’ q’u t’ent’a ghunenhti?	sept-01-05.mp3
1	1	6	S/he is fine.	Yagheli nelan.	sept-01-06.mp3"
3	2	1	Are you hungry? 	Dinchin du?	nov-02-01.mp3
3	2	2	Yes, I am hungry.  	 Aa’ ełyus (shit’i).	nov-02-02.mp3
3	2	3	I am not hungry.	Nch’uk’a ki deshchin ehki.	nov-02-03.mp3
3	2	4	Is that guy hungry too?	 Ghun(en) ki dichinen lagin?	nov-02-04.mp3
3	2	5	 Yes, he is hungry. 	 Aa’ dichinen shin’i.	nov-02-05.mp3
3	2	6	Yes, he is hungry.	 Aha’ dichin ehki.	nov-02-05b.mp3
3	2	7	S/he is not hungry.	 Nch’uk’a ki dichin ehki.	nov-02-06.mp3
3	2	8	What do you want?	 Yada q’u shku’idinni?	nov-02-07.mp3
3	2	9	I want dry meat	 Nalggeni shku’ideshni.	nov-02-08.mp3
3	2	10	I want half-dry fish.	 łiq’a dayeshi shku’ideshni.	nov-02-09.mp3
3	2	11	I want some soup (too).	  K’ta’a (k’a) shku’ideshni.	nov-02-10.mp3
3	2	12	Do you want fish?	 łiq’a shku’idinni du?	nov-02-11.mp3
3	2	13	Yes, I want fish.	 Aa’ łiq’a shku’ideshni (shit’i).	nov-02-12.mp3
3	2	14	What (else) does s/he want? 	 (Ki) yada q’u shku’itnin din?	nov-02-13.mp3
3	2	15	S/he wants berries.	 Gega shku’itni.	nov-02-14.mp3
3	2	16	S/he wants dry fish. 	 Baba shku’itni.	nov-02-15.mp3
7	4	5	 I saw the clouds.	 Qaqininigi ghesh’an.	mar-04-05.mp3
8	1	1	It is daytime.	Jani qilan shit’i.	apr-01-01.mp3
8	1	2	It is daytime.	Jani qiydlan.	apr-01-01b.mp3
8	1	3	It is morning.	 Q’ut’en qilan (shit’i).	apr-01-02.mp3
8	1	4	It has dawned.	 Iytałqun shit’i.	apr-01-03.mp3
8	1	5	It got dark again.	  Nughiłghatl’ kiq’u.	apr-01-04.mp3
8	1	6	It is getting dark again.	  Nutałghatl kiq’u.	apr-01-04b.mp3
8	1	7	It is evening time.	 Hełch’ qiydlan.	apr-01-05.mp3
8	1	1	Do you speak my language, the Dena’ina language?	 Shhnaga Dena’inaq’e qinash du?	feb-01-01.mp3
8	1	2	Do you speak the Dena’ina language?	 Dena’inaq’e qinash du?	feb-01-01b.mp3
8	1	3	Do you understand the Dena’ina Language? 	 Dena’inaq’e qadak’dinesh du?	feb-01-02.mp3
8	1	4	I understand the Dena’ina Language.	Qadak’deshnesh Dena’inaq’e qadak’deshnesh shit’i.	feb-01-03.mp3
8	1	5	 I do not know the Dena’ina Language.	Dena’inaq’e k’a nch’u qadak’eydeshnik (shi).	feb-01-04.mp3
8	1	6	I understand our Native Language a little.	Jitgga q’u Dena’inaq’e qeshnash (shit’i).	feb-01-05.mp3
8	2	1	It became springtime.	łitl’en qiydlan.	apr-02-01.mp3
8	2	2	It started to become springtime.	łitl’en htaydlan.	apr-02-01b.mp3
8	2	3	Is the snow melting?	 Chitl’ idghulyes lagit?	apr-02-02.mp3
8	2	4	The snow has melted.	 Chitl’ idghalnen.	apr-02-03.mp3
8	2	5	Is it getting warm?	   Nuhnułqił?	apr-02-04.mp3
8	2	6	(Yes) it got warm.	 (Aa’) nuhnilqin (shit’i).	apr-02-05.mp3
8	2	7	Is it cold?	 Edli qilan lagit?	apr-02-06.mp3
8	2	8	It is still cold.	  Edli qilan łu ghu.	apr-02-07.mp3
8	2	1	Where are you going?	Ndahdi q’u tinyu?	feb-02-01.mp3
8	2	2	Where are you going?	 Ndaha q’u tinyu?	feb-02-01b.mp3
8	2	3	I am walking to the lake.	  Bench’ tayeshu.	feb-02-02.mp3
8	2	4	I am walking to the store (also).	 Blahga (kiq’u) tayeshu.	feb-02-03.mp3
8	2	5	I am walking to my aunt’s (house).	Shbach’ach’ tayeshu (shit’i).	feb-02-04.mp3
8	2	6	Where is s/he walking to? 	(Yen k’a) daha tayu’en din?	feb-02-05.mp3
8	2	7	(That guy) is walking to the store. 	(Ghunen k’a) blahga tayu duhti.	feb-02-06.mp3
8	2	8	S/he is (also) walking to the lake.	Bench’ (kiq’u) tayu duhti.	feb-02-07.mp3
2	3	1	What did you see? 	Yada q’u ghin’an?	oct-03-01.mp3
2	3	2	 I saw a rabbit. 	Ggeh ghesh’an.	oct-03-02.mp3
2	3	3	I saw a moose (too).	Dnigi (ki q’u) ghesh’an.	oct-03-03.mp3
2	3	4	 I saw a small cow moose.	Deyuyi gga ghesh’an shit’i		oct-03-04.mp3
2	3	5	I was looking at a cow moose.	Deyuyi ngheł’an.	oct-03-04b.mp3
2	3	5	I (also) saw a porcupine.	Qanchi (ki q’u) ghesh’an.	oct-03-05.mp3
2	3	6	Did you see any wolves?	Beq’e ch’etniyi ghin’an du?		oct-03-06.mp3
2	3	7	Beq’e ch’etniyi dnaghelt’a gheli ch’enghił’an.	oct-03-07.mp3
2	3	8	Did you also see any sheep?	 (Ki du) nuji ghin’an du (yet ki du)?	oct-03-08.mp3
2	3	9	I saw very many sheep.	Dnaghelt’a gheli sht’a nuji ngheł’ani shi.	oct-03-09.mp3
2	3	10	I saw many sheep. 	 	Nuji dnaghelt’a gheli ngheł’an.	oct-03-09b.mp3
2	3	11	I saw black bears.	Yeghedishla ngheł’an.	oct-03-10.mp3
2	3	12	I saw caribou.		 Ghenuy ngheł’an.	oct-03-11.mp3
4	3	1	 What is s/he doing?	 Yada q’u t’eł’an?	dec-03-01.mp3
4	3	2	S/he is sitting. 	  Eydu’en shin(‘i).	dec-03-02.mp3
4	3	3	S/he is standing (there).	(Yet q’u) san duhti.	dec-03-03.mp3
4	3	4	S/he is sleeping.	 Dnaldaq (duhti).	dec-03-04.mp3
4	3	5	S/he is running.	(Nt’i) shełdułtesh duhti.	dec-03-05.mp3
4	3	6	S/he is dancing. 	 (Nt’i) k’eljesh (duhti).	dec-03-06.mp3
4	3	7	What are you doing? 	Yada q’u t’enł’an dit?	dec-03-07.mp3
4	3	8	I am sewing.	Q’ank’da’ełqush (shit’i).	dec-03-08.mp3
4	3	9	I am running.	Shuda ghesh’an.	dec-03-09.mp3
4	3	10	I am dancing.	K’eljesh shit’i.	audio/dec-03-10.mp3
4	3	11	I am standing (here).	Yesan duhti.	audio/dec-03-11.mp3
4	3	12	I am sitting.	Yeshdu k’a.	audio/dec-03-12.mp3
4	3	13	I am sitting here.	Gu yeshdu shit’i.	audio/dec-03-12b.mp3
1	2	1	How is outside?  	Uch’en ch’adach’ ghu tqit’a?	sept-02-01.mp3
1	2	2	It is sunny. 	Qak’ni’un.	sept-02-02.mp3
1	2	3	It is cloudy.	 Qaqininik.	sept-02-03.mp3
1	2	4	It is foggy, very cloudy.	Qaqinichet.	sept-02-04.mp3
1	2	5	It is raining a little.	Jitgga q’u bełełkun.	sept-02-05.mp3
1	2	6	It is a little windy.	Beł nich’ey (jitgga q’u).	sept-02-06.mp3
9	5	1	Give me the paper.	Galeq shlaq’a n’ut.	may-05-01.mp3
9	5	2	Give me the blanket too.	 Ch’da k’a shlaq’a n’ut.	may-05-02.mp3
9	5	3	Give me the gun too.	 Iyni k’a shlaq’a nłggat.	may-05-03.mp3
9	5	4	Give me the cane too.	  Tets’ k’a shlaq’a diłggat.	may-05-04.mp3
9	5	5	Give me the moccasins too.	 Seł k’a shlaq’a nłdał.	may-05-05.mp3
9	5	6	Give me the bullets too.	 Sbinich k’a shlaq’a niłdał	may-05-06.mp3
3	1	1	Is it snowing?  	Ełyus lagit?	nov-01-01.mp3
3	1	2	Yes, it is snowing.  	 Aa’ ełyus (shit’i).	nov-01-02.mp3
3	1	3	It is not snowing any more.	Nch’uk’a ki ełyuy hki.	nov-01-03.mp3
3	1	4	Is it cold?	 Edli qilan lagit?	nov-01-04.mp3
3	1	5	 Yes, it is cold. 	 Aa’ edli qilan.	nov-01-05.mp3
3	1	6	It is not cold.	 Nch’uk’a edli hghile duhti.	nov-01-06.mp3
3	1	7	It is not cold anymore.	 Nch’uk’a ki edli hghile ki.	nov-01-06b.mp3
3	1	8	It is starting to be winter for us.	  Hey na’a htaydlan.	nov-01-07.mp3
7	6	1	Where are you going?	Daha q’u tinyu dit?	mar-06-01.mp3
7	6	2	I am going to Mt. Susitna.	 Dghelishlach’ tanshu shit’i.	mar-06-02.mp3
7	6	3	I am going to Mt. Susitna.	 Dghelishlach’ tayeshu.	mar-06-02b.mp3
7	6	4	*I am going to the mountain. 	 Dghelaych’ tayeshu. (no audio).	mar-06-02c.mp3
7	6	5	I am going to the hill.	 Teshch’ tanshu shit’i.	mar-06-03.mp3
7	6	6	I am going to the hill.	 Teshch’ tayeshu.	mar-06-03b.mp3
7	6	7	I am going to the creek.	  K’etnuh tayeshu shit’i.	mar-06-04.mp3
7	6	8	I am going to the lake.	 Bench’ tayeshu (shit’i).	mar-06-05.mp3
9	4	1	What kind of small animal is this?	Yada ninya ggwa di (lagi)?	may-04-01.mp3
9	4	2	This looks like a moose calf.	 Yen k’i k’dechiga q’ent’a.	may-04-02.mp3
9	4	3	A baby rabbit is walking around here.	 (Gini k’i) k’egguya ggwa ggeh (gu) nugheyuł.	may-04-03.mp3
9	4	4	A small bear cub is walking around here.	  K’eyush ggwa gu nugheyuŁ.	may-04-04.mp3
9	4	5	A black bear cub is walking around here.	 Ghedishla k’eyush gu nugheyuł.	may-04-05.mp3
9	4	6	What did you see?	 Yada q’u ghin’an?	may-04-06.mp3
9	4	7	 I saw a (small) fox pup. 	 Naggets’i k’egguya ggwa ngheł’an.	may-04-07.mp3
9	4	8	I saw a baby wolf. 	 Beq’e ch’etniyi k’egguya gga ngheł’an.	may-04-08.mp3
9	4	9	I saw the (small) puppies.  	 Łegga (ggwa) ngheª’an.	may-04-09.mp3
1	3	1	Who is this?  	Gunhti bada din?	sept-03-01.mp3
1	3	2	This is a boy/young man. 	Gunhti kił.	sept-03-02.mp3
1	3	3	This is a woman.	 Gunhti k’isen.	sept-03-03.mp3
1	3	4	This is a man.	Gunhti quht’ana.	sept-03-04.mp3
1	3	5	This is a girl. 	Gunhti k’isen ggwa.	sept-03-05.mp3
1	3	6	This is a child.	Gunhti ch’anigen.	sept-03-06.mp3
1	3	7	This is a baby.	 Gunhti ch’anigen ggwa shin.	sept-03-07.mp3
4	2	1	 Who is this?	 Gunenhti bada din?	dec-02-01.mp3
4	2	2	This is my mother. 	  Gunenhti shunkda (łu ghu).	dec-02-02.mp3
4	2	3	This is my father.	Gunenhti shtukda łu ghu.	dec-02-03.mp3
4	2	4	This is my grandmother.	Gunenhti shchikda lagin.	dec-02-04.mp3
4	2	5	This is my grandfather.	Gunenhti shcheyakda łu ghu.	dec-02-05.mp3
4	2	6	Who did you see? 	 Bada q’u ghin’an?	dec-02-06.mp3
4	2	7	I saw my older brother. 	Shingha ghesh’an.	dec-02-07.mp3
4	2	8	I saw my younger brother (too).	Shkela (kiq’u) ghesh’an.	dec-02-08.mp3
4	2	9	I saw my older sister.	Shuda ghesh’an.	dec-02-09.mp3
4	2	10. I saw my younger sister (too).	Shdaja (kiq’u) ghesh’an.	dec-02-10.mp3
2	2	1	It is becoming fall time. 	Naqeli htaydlan.	oct-02-01.mp3
2	2	2	 It is cold. 	Edli qilan.	oct-02-02.mp3
2	2	3	It is snowing too.	(Beł) ełyus kiq’u.	oct-02-03.mp3
2	2	4	Is it windy?	 (Beł) qanich’ey lagit?	oct-02-04.mp3
2	2	5	It is windy. 	Beł qanich’ey.	oct-02-05.mp3
2	2	6	It is not windy (there).	Nch’uk’a qa’ich’ey (yeh ki).	oct-02-06.mp3
2	2	7	 Is it sunny?	Qak’ni’un du?	oct-02-07.mp3
2	2	8	Yes, it is sunny (there).	 Aa’ (ye) qak’ni’un (hki).	oct-02-08.mp3
2	2	9	It is not sunny.	 Nch’uka’ qak’i’u’ (duhti).	oct-02-09.mp3
2	2	1	What do you have?	Yada q’u yilu?	feb-03-01.mp3
2	2	2	I have my mittens.	 Gech’ yełu (shit’i).	feb-03-02.mp3
2	2	3	I also have moccasins too.	 Seł k’a yełu shit’i.	feb-03-03.mp3
2	2	4	I also have socks too.	Chulgi k’a yełu.	feb-03-04.mp3
2	2	5	I also have my hats too. 	Shkit’una k’a yełu.	feb-03-05.mp3
2	2	6	I also have my pants too. 	Stl’ustl’a k’a yełu shit’i.	feb-03-06.mp3
2	2	7	I also have my shirts too.	Shdak’a k’a yełu shit’i.	feb-03-07.mp3
2	2	8	I also have clothes too.	Shbenłqela k’a yełu shit’i.	feb-03-08.mp3
8	3	1	What kind of tracks are these?.	Yada q’e qilan dit?	apr-03-01.mp3
8	3	2	These are moose tracks.	 Dnigi gu uq’e qilan duhti.	apr-03-02.mp3
8	3	3	These are moose tracks.	 Dnigi q’e qilan duhti.	apr-03-02b.mp3
8	3	4	These are beaver tracks.	 Gu k’enuy’a k’eq’e qilan.	apr-03-03.mp3
8	3	5	These are beaver tracks.	 K’enuy’a q’e qilan.	apr-03-03b.mp3
8	3	6	A mouse went around here and came back.	  Dlin’a dagu łuhniyu, guduh nu’iju.	apr-03-04.mp3
8	3	7	 There is a mouse’s foot pattern.	 Dlin’a k’qa qilan.	apr-03-05.mp3
8	3	8	There are a mouse’s tracks.	 Dlin’a k’eqeyeq’e qilan.	apr-03-05b.mp3
8	3	9	There are black bear tracks out there.	 Yuh ghu ghedishla k’eq’e qilan.	apr-03-06.mp3
8	3	10	What kind of tracks are these?	  Yada du gu ghu gu k’q’e qilani shi?	apr-03-07.mp3
8	3	11	What kind of tracks are these?	  Yada di gu ghu k’q’e qilani shi?	apr-03-07b.mp3
8	3	12	What kind of tracks are these?	  Yada du gu ghu gu k’q’e qilani shi?	apr-03-08.mp3
8	3	13	There are moose tracks.	  Dnigi q’e qilan.	apr-03-09.mp3
8	3	14	There are beaver tracks here (too).	  K’enuy’a k’a gu ghu q’e qilan.	apr-03-10.mp3
